Time,Ping (ms),Download (Mbit/s),Upload (Mbit/s)
2019-09-28T03:50:40.676924,22.194,28.23,5.96
2019-09-28T04:00:40.077953,23.237,28.90,6.00
2019-09-28T04:10:39.887520,24.022,29.05,6.00
2019-09-28T04:20:39.821773,22.54,28.03,5.93
2019-09-28T04:30:39.545155,22.508,27.35,5.87
2019-09-28T04:40:40.214647,22.169,26.81,5.96
2019-09-28T04:50:39.731956,22.578,27.28,5.98
2019-09-28T05:00:40.946025,24.023,26.83,5.97
2019-09-28T05:10:39.577087,22.781,28.07,5.97
2019-09-28T05:20:40.237699,23.585,29.08,6.01
2019-09-28T05:30:39.690551,22.888,27.96,5.98
2019-09-28T05:40:40.332561,22.909,27.75,5.89
2019-09-28T05:50:40.008766,22.613,28.17,5.87
2019-09-28T06:00:39.620986,22.961,28.16,5.95
2019-09-28T06:10:40.147965,22.708,27.78,5.97
2019-09-28T06:20:40.034026,23.114,27.96,5.94
2019-09-28T06:30:39.682481,22.364,27.14,5.96
2019-09-28T06:40:40.628493,22.979,27.04,5.88
2019-09-28T06:50:40.488423,22.852,28.06,5.88
2019-09-28T07:00:40.122594,22.816,27.64,5.99
2019-09-28T07:10:39.872946,22.477,26.82,5.91
2019-09-28T07:20:39.645665,21.915,27.43,6.03
2019-09-28T07:30:40.170861,23.084,26.55,5.93
2019-09-28T07:40:40.019862,22.991,17.74,6.00
2019-09-28T07:50:39.685161,22.397,27.94,5.91
2019-09-28T08:00:45.402996,22.121,16.62,5.93
2019-09-28T08:10:47.043311,22.611,11.85,5.99
2019-09-28T08:20:46.251551,22.656,16.16,6.04
2019-09-28T08:30:48.168044,23.835,11.87,5.85
2019-09-28T08:40:44.841172,22.317,22.74,5.63
2019-09-28T08:50:42.584320,22.974,18.59,5.98
2019-09-28T09:00:40.549465,22.705,15.07,5.83
2019-09-28T09:10:45.299778,22.124,15.48,5.93
2019-09-28T09:20:40.352729,22.534,22.17,5.99
2019-09-28T09:30:43.152988,22.68,7.16,5.96
2019-09-28T09:40:45.180651,22.656,24.61,5.98
2019-09-28T09:50:40.302273,26.141,13.02,5.97
2019-09-28T10:00:45.317793,23.533,11.50,5.75
2019-09-28T10:10:51.527414,22.808,2.61,5.22
2019-09-28T10:20:46.488095,22.725,1.54,4.72
2019-09-28T10:30:47.122174,21.918,9.12,5.15
2019-09-28T10:40:41.038243,22.86,13.50,4.97
2019-09-28T10:50:45.313153,27.964,13.79,5.96
2019-09-28T11:00:42.200559,22.599,15.89,4.62
2019-09-28T11:10:39.534268,22.117,18.98,6.00
2019-09-28T11:20:39.272000,22.226,28.14,6.04
2019-09-28T11:30:41.030547,22.8,23.05,6.04
2019-09-28T11:40:39.395825,22.506,27.96,6.07
2019-09-28T11:50:45.090478,26.894,19.41,5.97
2019-09-28T12:00:39.646537,22.173,23.41,5.92
2019-09-28T12:10:40.335492,22.819,25.17,6.04
2019-09-28T12:20:40.416221,22.171,26.38,6.03
2019-09-28T12:30:40.158889,22.531,15.93,5.93
2019-09-28T12:40:44.183075,22.715,13.57,6.04
2019-09-28T12:50:42.241923,22.253,18.31,4.79
2019-09-28T13:00:43.314655,22.175,16.17,4.49
2019-09-28T13:10:39.871692,22.091,19.43,5.92
2019-09-28T13:20:40.751932,22.772,24.49,5.93
2019-09-28T13:30:40.016222,22.064,23.99,5.91
2019-09-28T13:40:39.657134,22.709,24.51,6.07
2019-09-28T13:50:40.428495,22.446,15.88,5.94
2019-09-28T14:00:40.148460,22.832,9.85,5.98
2019-09-28T14:10:39.727073,21.776,21.23,6.01
2019-09-28T14:20:39.985483,22.826,26.61,5.99
2019-09-28T14:30:39.720266,22.707,9.50,5.68
2019-09-28T14:40:40.410969,22.071,13.60,5.98
2019-09-28T14:50:40.011438,22.301,23.43,5.99
2019-09-28T15:00:39.769549,22.372,23.79,6.01
2019-09-28T15:10:56.656184,22.185,23.38,5.56
2019-09-28T15:20:41.961992,22.822,17.10,5.97
2019-09-28T15:30:39.295721,22.505,21.98,6.03
2019-09-28T15:40:40.073074,22.496,25.67,5.98
2019-09-28T15:50:41.338772,22.482,21.59,6.01
2019-09-28T16:00:39.870873,22.585,28.27,6.02
2019-09-28T16:10:39.330226,21.99,26.87,5.89
2019-09-28T16:20:40.885051,22.603,28.36,5.94
2019-09-28T16:30:41.656469,22.418,21.48,5.97
2019-09-28T16:40:40.142878,22.605,20.27,6.03
2019-09-28T16:50:39.925293,22.755,28.02,5.83
2019-09-28T17:00:50.127511,23.071,13.46,5.93
2019-09-28T17:10:39.684996,22.694,12.00,5.90
2019-09-28T17:30:42.827857,22.224,7.01,5.86
2019-09-28T17:40:49.873452,22.648,10.36,4.08
2019-09-28T17:50:44.755858,22.3,6.18,5.95
2019-09-28T18:10:42.382651,22.8,23.31,5.78
2019-09-28T18:20:40.296868,22.511,29.07,6.04
2019-09-28T18:30:40.326931,22.896,28.05,5.87
2019-09-28T18:40:39.741859,22.4,28.04,5.98
2019-09-28T18:50:40.184825,22.624,29.50,5.87
2019-09-28T19:00:39.734254,21.956,27.76,6.01
2019-09-28T19:10:40.248189,22.356,27.88,5.96
2019-09-28T19:20:39.823104,22.472,28.48,5.98
2019-09-28T19:30:40.011697,22.424,28.32,5.85
2019-09-28T19:40:39.324413,22.109,26.32,5.98
2019-09-28T19:50:39.770539,21.782,27.86,5.96
2019-09-28T20:00:40.508712,22.908,28.95,5.90
2019-09-28T20:10:40.052213,22.306,28.56,6.05
2019-09-28T20:20:40.574272,22.211,26.13,6.01
2019-09-28T20:30:40.006488,22.669,28.40,5.98
2019-09-28T20:40:39.623827,22.736,27.23,5.86
2019-09-28T20:50:40.352219,22.571,28.23,5.95
2019-09-28T21:00:39.830242,22.419,28.91,5.94
2019-09-28T21:10:39.917852,23.198,27.82,5.96
2019-09-28T21:20:39.760814,22.795,28.65,5.96
2019-09-28T21:30:40.599627,27.627,28.31,5.97
2019-09-28T21:40:40.242801,22.234,27.91,5.91
2019-09-28T21:50:39.671644,22.605,27.68,6.01
2019-09-28T22:00:40.270857,22.556,28.36,5.96
2019-09-28T22:10:40.011526,21.944,27.96,5.93
2019-09-28T22:20:39.677193,21.732,27.57,5.83
2019-09-28T22:30:40.479058,22.465,28.05,5.96
2019-09-28T22:40:39.916088,22.113,28.27,5.73
2019-09-28T22:50:40.092760,22.224,25.43,6.03
2019-09-28T23:00:39.906022,22.072,28.32,5.88
2019-09-28T23:10:40.144287,22.294,5.99,5.98
2019-09-28T23:20:40.087274,22.228,27.01,6.00
2019-09-28T23:30:40.102535,22.747,27.74,4.90
2019-09-28T23:40:39.625828,21.914,28.33,5.08
2019-09-28T23:50:39.958988,23.88,28.15,5.04
2019-09-29T00:00:39.592219,22.524,28.92,5.89
2019-09-29T00:10:39.995966,22.228,27.15,5.97
2019-09-29T00:20:39.772088,22.014,27.79,5.99
2019-09-29T00:30:40.436271,22.167,27.41,5.90
2019-09-29T00:40:40.046937,22.934,25.83,5.86
2019-09-29T00:50:40.261361,22.208,26.99,5.59
2019-09-29T01:00:40.497610,22.8,28.98,5.96
2019-09-29T01:10:40.229513,22.803,27.55,5.96
2019-09-29T01:20:40.326100,22.247,27.52,5.84
2019-09-29T01:30:40.075406,22.382,28.16,5.97
2019-09-29T01:40:39.312647,24.11,28.46,5.99
2019-09-29T01:50:40.313389,24.255,26.99,5.78
2019-09-29T02:00:39.806581,22.853,27.67,5.93
2019-09-29T02:10:39.220250,21.983,27.70,5.95
2019-09-29T02:20:40.392059,22.522,27.27,5.90
2019-09-29T02:30:39.983824,22.109,27.67,6.05
2019-09-29T02:40:39.408760,22.818,28.17,5.96
2019-09-29T02:50:40.024292,22.915,28.73,6.02
2019-09-29T03:00:39.475647,21.81,27.16,6.03
2019-09-29T03:10:40.422360,22.315,27.75,5.97
2019-09-29T03:20:41.272064,21.993,28.46,5.43
2019-09-29T03:30:39.773708,22.246,27.11,5.95
2019-09-29T03:40:40.120067,22.293,26.16,6.03
2019-09-29T03:50:45.439223,22.86,6.70,2.29
2019-09-29T04:00:57.011916,23.388,2.67,5.98
2019-09-29T04:10:45.967353,23.086,1.63,5.27
2019-09-29T04:40:40.528368,22.216,1.72,4.01
2019-09-29T04:50:54.993996,28.199,1.75,5.15
2019-09-29T05:00:39.719221,22.666,27.79,5.88
2019-09-29T05:10:40.236119,22.094,27.59,5.96
2019-09-29T05:20:40.158931,22.477,27.99,5.96
2019-09-29T05:30:39.829039,23.242,27.88,6.04
2019-09-29T05:40:39.640809,22.454,28.75,6.01
2019-09-29T05:50:40.097070,22.382,26.87,5.88
2019-09-29T06:00:39.556966,22.645,28.63,6.02
2019-09-29T06:10:40.038480,22.478,27.22,5.99
2019-09-29T06:20:39.646487,22.906,27.48,5.97
2019-09-29T06:30:40.350433,22.655,27.71,5.88
2019-09-29T06:40:39.989726,22.068,27.43,5.93
2019-09-29T07:00:40.338483,22.673,27.73,6.03
2019-09-29T07:10:39.884107,22.316,26.72,6.00
2019-09-29T07:20:39.672061,23.426,28.35,5.95
2019-09-29T07:30:41.093188,22.189,27.27,5.46
2019-09-29T07:40:39.666769,22.983,28.13,5.98
2019-09-29T07:50:40.242295,22.479,27.66,5.95
2019-09-29T08:00:39.764392,21.375,26.87,5.89
2019-09-29T08:10:40.356032,22.288,27.56,5.90
2019-09-29T08:20:40.469989,22.181,26.63,6.02
2019-09-29T08:30:40.608710,22.614,26.69,5.84
2019-09-29T17:20:40.955177,21.964,26.99,5.83
2019-09-29T17:30:39.409637,22.41,27.83,5.96
2019-09-29T17:40:39.920243,22.487,28.39,5.87
2019-09-29T17:50:39.270539,22.074,28.24,5.99
2019-09-29T18:00:39.907411,22.325,28.14,5.98
2019-09-29T18:10:39.668499,22.196,28.31,5.93
2019-09-29T18:20:39.670640,22.704,27.11,5.92
2019-09-30T19:20:40.793424,22.644,28.02,5.96
2019-10-01T00:20:40.174783,22.003,15.39,5.95
2019-10-01T00:40:45.282783,23.721,21.10,5.68
2019-10-01T01:00:39.845160,22.577,26.43,5.97
2019-10-01T01:20:39.707415,22.449,16.80,5.62
2019-10-01T01:40:40.234509,22.84,28.32,6.06
2019-10-01T02:00:39.694151,23.476,28.31,5.88
2019-10-01T02:20:39.472374,22.146,27.29,5.87
2019-10-01T02:40:40.275010,23.145,28.23,5.96
2019-10-01T03:00:39.911944,22.675,27.18,5.93
2019-10-01T03:20:39.416929,23.086,24.96,5.92
2019-10-01T03:40:39.804184,24.003,26.68,5.95
2019-10-01T04:00:39.582363,22.608,27.44,6.00
2019-10-01T04:20:39.379035,22.748,28.65,6.05
2019-10-01T04:40:41.745375,23.216,27.90,5.01
2019-10-01T05:00:40.446564,22.781,27.54,5.84
2019-10-01T05:20:42.219583,22.737,25.85,5.09
2019-10-01T05:40:39.572443,22.278,27.73,5.95
2019-10-01T06:00:40.209090,22.539,27.95,5.92
2019-10-01T06:20:40.085204,21.52,27.00,5.95
2019-10-01T06:40:40.038896,22.207,28.80,5.97
2019-10-01T07:00:43.520494,22.717,27.76,5.85
2019-10-01T07:20:39.291148,22.439,27.85,6.04
2019-10-01T07:40:39.534838,22.032,28.45,5.87
2019-10-01T08:00:39.814157,21.829,27.91,6.01
2019-10-01T08:20:39.494889,22.07,27.64,6.03
2019-10-01T08:40:39.820724,22.356,28.03,5.98
2019-10-01T09:00:39.536051,22.081,27.30,6.02
2019-10-01T09:20:39.403210,21.804,26.32,5.99
2019-10-01T09:40:39.929457,22.17,27.26,5.95
2019-10-01T10:00:39.365649,22.638,26.92,5.89
2019-10-01T10:20:40.110805,22.134,27.66,5.94
2019-10-01T10:40:39.683891,21.965,27.02,6.01
2019-10-01T11:00:40.209693,22.1,28.84,5.99
2019-10-01T11:20:39.904984,21.772,27.75,5.97
2019-10-01T11:40:39.350481,21.886,27.78,5.88
2019-10-01T12:00:39.618785,21.851,27.23,5.92
2019-10-01T12:20:39.745753,21.741,27.25,5.87
2019-10-01T12:40:40.118921,22.62,28.38,6.01
2019-10-01T13:00:39.459976,22.239,27.41,6.04
2019-10-01T13:20:40.058204,21.712,27.48,6.03
2019-10-01T13:40:40.147759,22.402,27.40,6.00
2019-10-01T14:00:40.953603,22.132,26.09,5.29
2019-10-01T14:20:39.504757,22.166,27.96,6.01
2019-10-01T14:40:40.025357,21.885,26.73,6.02
2019-10-01T15:00:39.349785,22.143,28.36,6.03
2019-10-01T15:20:40.296256,21.999,27.66,5.95
2019-10-01T15:40:39.843507,21.9,27.97,5.84
2019-10-01T16:00:39.419672,22.454,27.25,6.03
2019-10-01T16:20:40.508195,24.0,27.35,5.83
2019-10-01T16:40:44.951579,22.139,19.00,5.88
2019-10-01T17:00:39.922380,22.387,25.06,5.91
2019-10-01T17:20:39.584137,23.095,28.40,6.02
2019-10-01T17:40:39.802393,22.008,24.89,5.92
2019-10-01T18:00:39.464649,22.543,27.80,5.93
2019-10-01T18:20:40.228283,22.824,29.05,5.83
2019-10-01T18:40:40.191279,23.196,27.97,5.56
2019-10-01T19:00:41.135836,22.429,14.91,5.92
2019-10-01T19:20:40.541426,21.963,18.92,5.83
2019-10-01T19:40:39.915833,22.271,28.36,6.03
2019-10-01T20:00:39.177731,21.809,18.11,6.01
2019-10-01T20:20:50.065731,22.609,5.42,5.85
2019-10-01T20:40:44.636342,22.187,28.55,5.93
2019-10-01T21:00:39.825348,23.105,27.75,6.01
2019-10-01T21:20:39.696349,22.363,27.72,5.89
2019-10-01T21:40:40.133266,22.773,28.31,5.90
2019-10-01T22:00:39.574421,23.305,29.02,5.96
2019-10-01T22:20:39.438116,23.586,29.47,6.06
2019-10-01T22:40:40.195553,22.523,28.42,5.83
2019-10-01T23:00:39.912081,22.091,28.07,5.85
2019-10-01T23:20:39.786695,22.495,28.11,5.95
2019-10-01T23:40:39.319445,22.172,27.63,5.93
2019-10-02T00:00:39.968073,22.62,28.19,4.57
2019-10-02T00:20:40.050323,22.658,25.52,2.76
2019-10-02T00:40:39.693256,23.757,26.46,3.07
2019-10-02T01:00:40.390305,23.735,27.88,2.99
2019-10-02T01:20:40.406174,22.917,28.04,4.89
2019-10-02T01:40:39.871450,21.667,29.08,5.21
2019-10-02T02:00:40.552619,21.92,18.55,3.05
2019-10-02T02:20:44.402796,22.655,23.31,2.61
2019-10-02T02:40:39.846791,22.493,27.03,6.05
2019-10-02T03:00:39.488223,23.108,28.16,5.96
2019-10-02T03:20:39.700013,22.296,28.96,5.86
2019-10-02T03:40:40.362692,22.431,25.11,5.88
2019-10-02T04:00:39.956142,23.065,20.82,5.99
2019-10-02T04:20:39.802278,22.151,27.59,5.87
2019-10-02T04:40:39.262951,22.306,24.26,6.06
2019-10-02T05:00:39.656985,23.598,28.34,5.96
2019-10-02T05:20:39.276644,22.128,28.46,6.03
2019-10-02T05:40:39.761001,22.511,27.38,5.96
2019-10-02T06:00:40.472174,22.584,26.74,5.84
2019-10-02T06:20:39.294132,22.443,27.20,5.89
2019-10-02T06:40:39.899496,22.205,28.37,5.96
2019-10-02T07:00:42.423662,22.383,23.58,5.10
2019-10-02T07:20:39.875883,22.131,26.77,6.07
2019-10-02T07:40:39.302758,22.372,27.05,6.01
2019-10-02T08:00:39.783099,23.326,28.53,5.99
2019-10-02T08:20:39.312725,21.723,27.11,5.97
2019-10-02T08:40:39.674640,22.42,28.32,5.92
2019-10-02T09:00:40.495954,22.472,26.72,6.05
2019-10-02T09:20:39.209608,22.562,27.85,5.95
2019-10-02T09:40:39.789769,22.054,28.70,5.99
2019-10-02T10:00:39.131304,22.445,27.47,6.00
2019-10-02T10:20:40.057409,22.836,27.80,5.98
2019-10-02T10:40:39.461311,21.862,26.66,5.93
2019-10-02T11:00:40.031515,22.748,27.61,5.92
2019-10-02T11:20:40.026192,22.005,28.22,6.00
